date,location,month,plot,trtcode,damage,quadrat,kdr_insects.tested,kdr_percent,kdr_prop_ddpcr,R,kdr_prop,alleles_screened,year,years,days,days_s,resid
2017-10-18,Tintinara,October,I1,1,5,1,11,86.85639,0.86856390000000006,0.34592978295612725,0.34592978295612725,22,2017,0,114,-0.6130139377256042,0.4849877119672271
2017-07-31,Arthur River,August,10,NA,NA,3,11,96.05,0.9605,0.5365959289735817,0.5365959289735817,22,2017,0,-1,-0.9641669335568628,0.40860572152926505
2019-07-05,Arthur River,July,3,NA,NA,1,10,77,0.77,0.4401836860294466,0.4401836860294466,20,2019,2,703,1.1855001017927551,0.3032174467419419
2017-07-31,Arthur River,August,9,NA,NA,4,4,99.78,0.9978,0.7731127485054915,0.7731127485054915,8,2017,0,-1,-0.9641669335568628,0.23711113344110624
2017-06-27,Tintinara,June,I1,1,3,1,50,58.84752,0.5884752,0.31073368314461935,0.31073368314461935,100,2017,0,1,-0.9580599249337104,0.23596976277893433
2017-07-31,Arthur River,August,9,NA,NA,2,15,98.43,0.9843000000000001,0.7974623742997908,0.7974623742997908,30,2017,0,-1,-0.9641669335568628,0.20211553706921437
2018-10-11,Arthur River,October,7,NA,NA,1,50,84.02,0.8402,0.6647491638795987,0.6647491638795987,100,2018,1,436,0.37021445060191993,0.17517337877527808
2019-07-05,Arthur River,July,1,NA,NA,1,20,74,0.74,0.5726451164407369,0.5726451164407369,40,2019,2,703,1.1855001017927551,0.15628187380877764
2018-09-22,Tintinara,September,E3,1,1,1,50,32.45,0.3245,0.10523948729480549,0.10523948729480549,100,2018,1,453,0.4221240238987147,0.15340270137087336
2018-09-22,Tintinara,September,M3,1,1,1,50,37.59,0.3759,0.1718286350148368,0.1718286350148368,100,2018,1,453,0.4221240238987147,0.14601849440892536
2017-06-27,Tintinara,June,D2,1,3,1,50,31.63786,0.3163786,0.1128994525803584,0.1128994525803584,100,2017,0,1,-0.9580599249337104,0.1385191636940185
2020-06-26,Arthur River,June,12,NA,NA,1,12,76,0.76,0.6171171171171171,0.6171171171171171,24,2020,3,1060,2.275601141025445,0.13702245419938971
2018-10-11,Arthur River,October,5,NA,NA,1,50,80.09,0.8009000000000001,0.6667411628859835,0.6667411628859835,100,2018,1,436,0.37021445060191993,0.13411486277276607
2019-09-15,Arthur River,September,10,NA,NA,1,50,82,0.82,0.6893819334389857,0.6893819334389857,100,2019,2,775,1.4053524122262389,0.1332278260327644
2017-07-31,Arthur River,August,11,NA,NA,2,5,83.77,0.8377,0.7384464110127827,0.7384464110127827,10,2017,0,-1,-0.9641669335568628,0.10761421558824576
2020-06-26,Arthur River,June,7,NA,NA,1,50,78,0.78,0.6889003791795932,0.6889003791795932,100,2020,3,1060,2.275601141025445,0.09365293712393731
2017-08-09,Tintinara,August,D2,1,2,1,50,37,0.37,0.2323482744942483,0.2323482744942483,100,2017,0,44,-0.8267592395359354,0.08669238618814065
2017-10-18,Tintinara,October,D2,1,2,1,42,36.71368,0.3671368,0.2304231922692436,0.2304231922692436,84,2017,0,114,-0.6130139377256042,0.08552862875210371
2017-06-27,Tintinara,June,D1,1,1,1,50,38.85796,0.38857959999999997,0.2571428571428571,0.2571428571428571,100,2017,0,1,-0.9580599249337104,0.08338358653360517
2018-10-11,Arthur River,October,9,NA,NA,1,2,97.91,0.9791,0.9270337119824111,0.9270337119824111,4,2018,1,436,0.37021445060191993,0.08253130793482723
2018-07-25,Arthur River,July,3,NA,0,1,50,92.25,0.9225,0.8665761737464069,0.8665761737464069,100,2018,1,358,0.13204111429897933,0.07930259382389501
2017-06-27,Tintinara,June,L2,1,2,1,23,73.89349,0.7389349,0.6617074034714843,0.6617074034714843,46,2017,0,1,-0.9580599249337104,0.0765935132238558
2017-07-31,Arthur River,August,5,NA,NA,4,10,76.9,0.769,0.7010213556174559,0.7010213556174559,20,2017,0,-1,-0.9641669335568628,0.07195266520425517
2017-09-28,Arthur River,September,7,NA,NA,2,50,87.75,0.8775,0.8255892559376268,0.8255892559376268,100,2017,0,58,-0.7840101791738692,0.07048541852881152
2019-09-15,Arthur River,September,6,NA,NA,1,30,67,0.67,0.5910295160267174,0.5910295160267174,60,2019,2,775,1.4053524122262389,0.07005231708465207
2019-07-05,Arthur River,July,4,NA,NA,1,10,69,0.69,0.6238502722738297,0.6238502722738297,20,2019,2,703,1.1855001017927551,0.06107849486380507
2017-06-27,Tintinara,June,M3,1,3,1,12,58.35671,0.5835671,0.5057319587628866,0.5057319587628866,24,2017,0,1,-0.9580599249337104,0.058919213391209806
2018-07-25,Arthur River,July,7,NA,0,1,50,82.63,0.8262999999999999,0.7812784793646661,0.7812784793646661,100,2018,1,358,0.13204111429897933,0.05840251117671742
2017-07-31,Arthur River,August,1,NA,NA,2,18,92.2,0.922,0.8907982261640798,0.8907982261640798,36,2017,0,-1,-0.9641669335568628,0.05741961790189956
2017-06-27,Tintinara,June,I3,1,2,1,24,64.87343,0.6487343,0.5851509280669959,0.5851509280669959,48,2017,0,1,-0.9580599249337104,0.05397617338774811
2017-06-27,Tintinara,June,A3,1,4,1,50,33.15861,0.33158610000000005,0.2277070784837643,0.2277070784837643,100,2017,0,1,-0.9580599249337104,0.052375685749520735
2018-09-22,Tintinara,September,N1,1,1,1,35,57.21,0.5721,0.5022832353444832,0.5022832353444832,70,2018,1,453,0.4221240238987147,0.05049661055213324
2018-06-02,Tintinara,June,D2,1,4,1,40,30.87,0.30870000000000003,0.20597947344935297,0.20597947344935297,80,2018,1,341,0.08013154100218457,0.04867048946825328
