rough_date,month_year,location,month,abund_m2_mu,abund_m2_se,damage_mu,damage_se
2017-07-31,Jul 2017,Arthur River,August,521.9907407407408,46.42632203734162,0,0
2017-08-29,Aug 2017,Arthur River,August,914.351851851852,67.5636151621365,0,0
2017-09-28,Sep 2017,Arthur River,September,770.8333333333334,94.94845954554019,0,0
2018-07-25,Jul 2018,Arthur River,July,1337.7314814814815,112.55867776665923,0.25,0.1305582419667734
2018-08-13,Aug 2018,Arthur River,August,643.0555555555555,115.00617064074027,0.25,0.1305582419667734
2018-09-07,Sep 2018,Arthur River,September,1155.5555555555557,218.86697876977686,0.75,0.25
2018-10-11,Oct 2018,Arthur River,October,889.3518518518518,332.64463670292787,0,0
2019-07-05,Jul 2019,Arthur River,July,398.61111111111114,71.31528781995134,0,0
2019-09-15,Sep 2019,Arthur River,September,1061.3425925925926,172.82378995756392,0,0
2020-06-26,Jun 2020,Arthur River,June,589.8148148148149,74.10247771930551,0,0
2017-06-27,Jun 2017,Tintinara,June,211.11111111111111,49.507724421585635,2.75,0.25
2017-08-09,Aug 2017,Tintinara,August,2347.222222222222,378.8885247882765,2.3333333333333335,0.1880253582725888
2017-09-18,Sep 2017,Tintinara,September,2087.037037037037,253.38785052438044,2.5833333333333335,0.5288399731220373
2017-10-18,Oct 2017,Tintinara,October,1227.7777777777778,308.2404234088543,2.0833333333333335,0.37856053783784804
2018-06-02,Jun 2018,Tintinara,June,1707.4074074074074,314.5313389987882,2.5,0.3588702812826367
2018-07-14,Jul 2018,Tintinara,July,1583.3333333333335,225.55113943032185,3.25,0.3916747259003201
2018-08-25,Aug 2018,Tintinara,August,630.5555555555555,160.4949467931248,0.16666666666666669,0.11236664374387367
2018-09-22,Sep 2018,Tintinara,September,1144.9074074074074,271.7241959954298,0.9166666666666666,0.1486470975026408
2019-06-06,Jun 2019,Tintinara,June,440.97222222222223,40.892249178001514,2.125,0.17543236631680928
2019-07-22,Jul 2019,Tintinara,July,250.69444444444446,37.12498763983314,1.7916666666666667,0.24197994323764302
2019-09-07,Sep 2019,Tintinara,September,306.4814814814815,57.650254785149194,0.6666666666666667,0.12811768579763455
2020-06-06,Jun 2020,Tintinara,June,235.1851851851852,20.891706474732086,0.5416666666666666,0.041666666666666664
