rough_date,month_year,location,month,abund_m2_mu,abund_m2_se,damage_mu,damage_se
31/07/2017,Jul-17,Arthur River,August,521.9907407,46.42632204,0,0
29/08/2017,Aug-17,Arthur River,August,914.3518519,67.56361516,0,0
28/09/2017,Sep-17,Arthur River,September,770.8333333,94.94845955,0,0
25/07/2018,Jul-18,Arthur River,July,1337.731481,112.5586778,0.25,0.130558242
13/08/2018,Aug-18,Arthur River,August,643.0555556,115.0061706,0.25,0.130558242
7/09/2018,Sep-18,Arthur River,September,1155.555556,218.8669788,0.75,0.25
11/10/2018,Oct-18,Arthur River,October,889.3518519,332.6446367,0,0
5/07/2019,Jul-19,Arthur River,July,398.6111111,71.31528782,0,0
15/09/2019,Sep-19,Arthur River,September,1061.342593,172.82379,0,0
26/06/2020,Jun-20,Arthur River,June,589.8148148,74.10247772,0,0
27/06/2017,Jun-17,Tintinara,June,211.1111111,49.50772442,2.75,0.25
9/08/2017,Aug-17,Tintinara,August,2347.222222,378.8885248,2.333333333,0.188025358
18/09/2017,Sep-17,Tintinara,September,2087.037037,253.3878505,2.583333333,0.528839973
18/10/2017,Oct-17,Tintinara,October,1227.777778,308.2404234,2.083333333,0.378560538
2/06/2018,Jun-18,Tintinara,June,1707.407407,314.531339,2.5,0.358870281
14/07/2018,Jul-18,Tintinara,July,1583.333333,225.5511394,3.25,0.391674726
25/08/2018,Aug-18,Tintinara,August,630.5555556,160.4949468,0.166666667,0.112366644
22/09/2018,Sep-18,Tintinara,September,1144.907407,271.724196,0.916666667,0.148647098
6/06/2019,Jun-19,Tintinara,June,440.9722222,40.89224918,2.125,0.175432366
22/07/2019,Jul-19,Tintinara,July,250.6944444,37.12498764,1.791666667,0.241979943
7/09/2019,Sep-19,Tintinara,September,306.4814815,57.65025479,0.666666667,0.128117686
6/06/2020,Jun-20,Tintinara,June,235.1851852,20.89170647,0.541666667,0.041666667
